interation,train_acc,test_acc,train_loss,test_loss,adv_source_acc,adv_target_acc
390,0.9858651757240295,0.9858769178390503,6.367614560076618e-07,6.314473921520403e-07,0.0,0.0
400,0.9859548807144165,0.985978364944458,6.276666795201891e-07,6.221213766366418e-07,0.0,0.0
410,0.9861031174659729,0.9861578345298767,6.196419235493522e-07,6.138423600532406e-07,0.0,0.0
420,0.9862201809883118,0.9862202405929565,6.132038379291771e-07,6.07324011525634e-07,0.0,0.0
430,0.9863021373748779,0.9862592816352844,6.073566964914789e-07,6.013854658704076e-07,0.0,0.0
440,0.9863879680633545,0.9863099455833435,6.023840910529543e-07,5.96310371747677e-07,0.0,0.0
450,0.9864425659179688,0.986434817314148,5.977008754598501e-07,5.914876055612694e-07,0.0,0.0
460,0.9863801598548889,0.9864699244499207,5.917426619816979e-07,5.8542497072267e-07,0.0,0.0
470,0.9863801598548889,0.9864582419395447,5.851227911080059e-07,5.786363317383802e-07,0.0,0.0
480,0.986473798751831,0.9865362644195557,5.788951398244535e-07,5.721258276025765e-07,0.0,0.0
490,0.9864620566368103,0.9865323305130005,5.740054689340468e-07,5.672256406796805e-07,0.0,0.0
500,0.9863957762718201,0.9864738583564758,5.677307512996776e-07,5.607960815723345e-07,0.0,0.0
510,0.9863567352294922,0.9865401387214661,5.607051889455761e-07,5.532888849302253e-07,0.0,0.0
520,0.9865440130233765,0.9867586493492126,5.546585839510954e-07,5.465408321470022e-07,0.0,0.0
530,0.9866376519203186,0.9868522882461548,5.504467708306038e-07,5.418288537839544e-07,0.0,0.0
540,0.9865440130233765,0.9867898225784302,5.475229158946604e-07,5.386025918596715e-07,0.0,0.0
550,0.9865752458572388,0.9867976307868958,5.444769044515851e-07,5.355922780836408e-07,0.0,0.0
560,0.986629843711853,0.986840546131134,5.419072408585635e-07,5.330756494004163e-07,0.0,0.0
570,0.9867312908172607,0.98698490858078,5.3922190090816e-07,5.302547378960298e-07,0.0,0.0
580,0.9867663979530334,0.9870434403419495,5.357601366995368e-07,5.267145297693787e-07,0.0,0.0
590,0.9867585897445679,0.9870161414146423,5.323945515556261e-07,5.233326874076738e-07,0.0,0.0
600,0.9868444204330444,0.9871214628219604,5.292735067996546e-07,5.198049279897532e-07,0.0,0.0
610,0.98671954870224,0.9870161414146423,5.260440048004966e-07,5.163504397387442e-07,0.0,0.0
620,0.9868600368499756,0.9871370792388916,5.246521368462709e-07,5.143153885001084e-07,0.0,0.0
630,0.9868327379226685,0.9871253967285156,5.214956217969302e-07,5.111945142743934e-07,0.0,0.0
640,0.9866454601287842,0.9869537353515625,5.17316323112027e-07,5.07620143253007e-07,0.0,0.0
650,0.986629843711853,0.9869146943092346,5.149966000317363e-07,5.053566383139696e-07,0.0,0.0
660,0.9866532683372498,0.9868912696838379,5.125747293277527e-07,5.02980526562169e-07,0.0,0.0
670,0.9865400791168213,0.9867976307868958,5.106737717142096e-07,5.012273618376639e-07,0.0,0.0
680,0.98671954870224,0.9870473146438599,5.081588483335508e-07,4.983299959349097e-07,0.0,0.0
690,0.9867663979530334,0.9871097803115845,5.060005605628248e-07,4.957786359227612e-07,0.0,0.0
700,0.9867936968803406,0.9871097803115845,5.042693373980001e-07,4.938725055581017e-07,0.0,0.0
710,0.9867156744003296,0.9870278239250183,5.021800575377711e-07,4.919201046504895e-07,0.0,0.0
720,0.986707866191864,0.9869771003723145,5.005226171306276e-07,4.901496026832319e-07,0.0,0.0
730,0.9867000579833984,0.9869654178619385,4.988339696865296e-07,4.881472364104411e-07,0.0,0.0
740,0.9866610765457153,0.986918568611145,4.966456685906451e-07,4.859265914092248e-07,0.0,0.0
750,0.9866649508476257,0.9869146943092346,4.942987743561389e-07,4.837820029024442e-07,0.0,0.0
760,0.9865362048149109,0.9867547154426575,4.937588187203801e-07,4.838366294279695e-07,0.0,0.0
770,0.9865089058876038,0.9867039918899536,4.928249381919159e-07,4.831481419387273e-07,0.0,0.0
780,0.9865713119506836,0.9867547154426575,4.915381737191638e-07,4.81728761769773e-07,0.0,0.0
790,0.9866571426391602,0.9868249893188477,4.893333311883907e-07,4.791411356563913e-07,0.0,0.0
800,0.986497163772583,0.9866688847541809,4.87655199776782e-07,4.775181992044963e-07,0.0,0.0
810,0.9865829944610596,0.9867157340049744,4.860906415160571e-07,4.754352289637609e-07,0.0,0.0
820,0.9866493344306946,0.9868561625480652,4.856882469539414e-07,4.7427923277609807e-07,0.0,0.0
830,0.9866766333580017,0.9868952035903931,4.846315846407379e-07,4.7297629635068006e-07,0.0,0.0
840,0.9867585897445679,0.9870083332061768,4.828849569094018e-07,4.7143001324911893e-07,0.0,0.0
850,0.9866922497749329,0.9869810342788696,4.832493232242996e-07,4.7209226750055677e-07,0.0,0.0
860,0.986641526222229,0.9868366718292236,4.832857598557894e-07,4.723900417502591e-07,0.0,0.0
870,0.9866220355033875,0.9867859482765198,4.834664650843479e-07,4.727178577468294e-07,0.0,0.0
880,0.986563503742218,0.9867079257965088,4.826525810130988e-07,4.7251376145140966e-07,0.0,0.0
890,0.9866142272949219,0.9867703318595886,4.808199491890264e-07,4.705611047484126e-07,0.0,0.0
900,0.986497163772583,0.9866766929626465,4.785027840625844e-07,4.679834830767504e-07,0.0,0.0
910,0.9864503741264343,0.9865830540657043,4.784701559401583e-07,4.6812718323963054e-07,0.0,0.0
920,0.9862241148948669,0.9863294959068298,4.778490279022662e-07,4.675885065807961e-07,0.0,0.0
930,0.9861031174659729,0.9861695170402527,4.778229367730091e-07,4.6727606672902766e-07,0.0,0.0
940,0.9859548807144165,0.9860407710075378,4.786730869454914e-07,4.6784293772361707e-07,0.0,0.0
950,0.9857754111289978,0.9859705567359924,4.786986664839787e-07,4.6769295636295283e-07,0.0,0.0
960,0.9859158992767334,0.986068069934845,4.765957157815137e-07,4.661070249767363e-07,0.0,0.0
970,0.9860758185386658,0.9862475395202637,4.756885800816235e-07,4.653521159525553e-07,0.0,0.0
980,0.9862201809883118,0.9863060712814331,4.783449867318268e-07,4.6888374072295846e-07,0.0,0.0
990,0.9862943291664124,0.9863489866256714,4.816423029296857e-07,4.72567535325652e-07,0.0,0.0
1000,0.9860172867774963,0.9861266016960144,4.815321972273523e-07,4.723702033970767e-07,0.0,0.0
1010,0.9859158992767334,0.986044704914093,4.77021330880234e-07,4.6712733592357836e-07,0.0,0.0
1020,0.9859666228294373,0.9861382842063904,4.747404034333158e-07,4.6392992203436734e-07,0.0,0.0
1030,0.9859080910682678,0.9861031770706177,4.734199876565981e-07,4.6249201091086434e-07,0.0,0.0
1040,0.9861928820610046,0.986345112323761,4.7257282176360604e-07,4.6169350298441714e-07,0.0,0.0
1050,0.9862670302391052,0.9864153265953064,4.717513490959391e-07,4.60966646187444e-07,0.0,0.0
1060,0.9859080910682678,0.9860876202583313,4.7074212261577486e-07,4.5981445850884484e-07,0.0,0.0
1070,0.9859002828598022,0.9860953688621521,4.703006482031924e-07,4.594127176460461e-07,0.0,0.0
1080,0.9859392642974854,0.9860720038414001,4.699989233358792e-07,4.5921814262328553e-07,0.0,0.0
1090,0.9857442378997803,0.9860251545906067,4.699778628491913e-07,4.5880244670115644e-07,0.0,0.0
1100,0.9859939217567444,0.986200749874115,4.686663430675253e-07,4.5778315893585386e-07,0.0,0.0
1110,0.9861655831336975,0.9863802194595337,4.6814017196084023e-07,4.574899321596604e-07,0.0,0.0
1120,0.9862709045410156,0.9864426255226135,4.6731906877539586e-07,4.560038746603823e-07,0.0,0.0
1130,0.9861928820610046,0.9864309430122375,4.6705909539923596e-07,4.550951757664734e-07,0.0,0.0
1140,0.9860250949859619,0.9863762855529785,4.6916258611418016e-07,4.5637372636520013e-07,0.0,0.0
1150,0.9860641360282898,0.9863373041152954,4.6734550096516614e-07,4.556059707283566e-07,0.0,0.0
1160,0.9864347577095032,0.9865752458572388,4.665700714667764e-07,4.5544689442067465e-07,0.0,0.0
1170,0.9860641360282898,0.9861929416656494,4.6648074203403667e-07,4.5568347672997334e-07,0.0,0.0
1180,0.9858105182647705,0.9859627485275269,4.6719452484467183e-07,4.5647442448171205e-07,0.0,0.0
